id;name;price
P201;MacBook Air M2;38999.00
P202;iPhone 15 Plus;32999.50
P203;AirPods Max;23999.00
P204;Apple Pencil Pro;5499.90
P205;Google Pixel 9;35999.50
P206;Bose QuietComfort Ultra;15999.00
P207;DJI Osmo Pocket 3;24999.50
P208;Fujifilm Instax Mini 99;6999.00
P209;Garmin Venu 3;17999.50
P210;Steam Deck OLED;27999.00
P211;PlayStation Portal;12999.90
P212;Meta Quest 3S;16999.50
P213;Dyson Airwrap;24999.90
P214;Marshall Emberton III;8499.00
P215;Kindle Paperwhite;8999.50
P216;Пошкоджений товар
P217;Sony Bravia;нечисло
P218;;8750.00
